text	code	weight	stem	decomposition
𪰭	absd		absd	⿰日爭
𭞕	absp		absp	⿱勗心
𩣶	absqf		absqf	⿱明馬
𦑉	abss		abss	⿰冐羽
昷	abt		abt	⿱日皿
𪓲	abta		abta	⿱昷黽
𧂓	abtip		abtip	⿰⿳日⿰彡彡巾芅
𨞚	abtnl	1	abt/nl	⿰盟阝
𨜵	abtnl		abt/nl	⿰𥁕阝
𭭑	abtno		abt/no	⿰昷欠
𭦗	abts		abts	⿳日皿⿰丿𠃌
冒	abu	1	abu	⿱冃目
冒	abu	1	abu	⿱日目
𧴴	abuc	1	abuc	⿱曰貝
𣇜	abuc		abuc	⿰日貝
𣌗	abue		abue	⿰日矍
𰟀	abuf		abuf	
㬬	abug		abug	⿰日瞿
𪃑	abuhz		abu/hz	⿰冒鳥
勖	abuks		abu/ks	⿰冒力
晛	abuu	2	abuu	⿰日見
㒻	abuu		abuu	⿱冃見
㒻	abuu		abuu	⿱日見
𣊕	abuv		abuv	⿱日眼
㪞	abuye		abu/ye	⿰冒攴
𡕺	abvie		abvie	⿰⿱日𢁙⿱幺夊
𭧎	abvk		abvk	⿰日奚
𣉰	abwd		abwd	⿳日冖果
㬭	abwi		abwi	⿰日爵
𣌄	abws		abws	⿰日⿳爫罒𪟙
𭧏	abx		abx	⿰日舀
𣇴	abyc		abyc	⿱明六
𢽢	abye		ab/ye	⿰冐攴
𭧯	abyhv		abyhv	⿱晌衣
𮲤	ac		ac	
𭨆	acav		acav	⿰日銀
𣅝	ace		ace	⿳日八又
𭥨	ache		ache	⿳日儿夂
𣋥	achh		achh	⿱日⿰弟弟
昖	aci		aci	⿰日公
暡	acis		acis	⿰日翁
晜	acnh	1	acnh	⿱日弟
𬀹	acnh		acnh	⿰日弟
㫟	acr	1	acr	⿰日⿱𠘧口
㫟	acr	1	acr	⿰日⿱儿口
㫟	acr	1	acr	⿰日㕣
𫞃	acr		acr	⿰日𠮦
𣇋	acru		acru	⿰日兑
昐	acsh	1	acsh	⿰日分
𣌥	acsh		acsh	⿱曰分
𱢖	acst		acst	
㬝	acwa		acwa	⿰日曾
𣅭	acy		acy	⿱日⿵八⺀
杲	ad	1	ad	⿱日木
杲	ad	1	ad	⿱日朩
𠕖	ad		ad	⿱冃木
𣇿	ada		ada	⿰日杳
𭬀	adad		adad	⿰杲杲
𣉎	adam		adam	⿰日查
𰖁	adb		adb	
𱢦	adbb		adbb	
𣉎	adbm		adbm	⿰日查
晽	add	1	add	⿰日林
𣇰	add		add	⿱日林
𣋜	addf		addf	⿰日禁
𣚤	adhhe	1	adhhe	⿰⿱日呆⿱彡又
𢒳	adhhe		adhhe	⿰⿳日冖禾⿱彡又
晰	adhl		adhl	⿰日析
𣌯	adhn		adhn	⿱曰机
𤜔	adhq		adhq	⿱⿰𣇛匊牛
时	adi	1	adi	⿰日寸
𬁟	adi		adi	⿱日寸
𱢐	adiu		adiu	
昩	adj	1	adj	⿰日末
𣅡	adk		adk	⿰日夬
𣉴	admg		admg	⿱日桎
暐	admq		admq	⿰日韋
𩓢	admz		ad/mz	⿰杲頁
𨜍	adnl		ad/nl	⿰杲阝
𭧔	adoe		adoe	⿱⿰日木⿱人氺
𣈕	adok		adok	⿱日枚
𪰪	adoo		adoo	⿰日來
𣇏	adr		adr	⿰日杏
𣉫	adtq		adtq	⿰日样
𰖍	adw		adw	
暕	adwf		adw'f	⿰日柬
𠕭	adyj		adyj	⿱冃棹
𭥚	ae		ae	⿱日水
𰖔	aea		aea	
㿺	aedhe	1	aedhe	⿰暴皮
𥀗	aedhe		aedhe	⿰曼皮
𬀮	aedi		aedi	⿰日对
𣉕	aeed		aeed	⿰日桑
𣇽	aeee		aeee	⿰日叕
𣋰	aehni		aehni	⿰暴凡
𩙕	aehni		aehni	⿰暴風
𱊲	aehym		aehym	
𣉔	aeii		aeii	⿰日蚤
𱢶	aeir		aeir	
𰖟	aeiv		aeiv	
𭥺	aem		aem	⿰日江
𣆙	aemj		aemj	⿰日汗
𰖠	aeog		aeog	
𪱕	aeol		aeol	⿰最亇
𪱕	aeon		aeon	⿰最亇
㬁	aeor		aeor	⿱日洽
𪱅	aeqa		aeqa	⿱日渚
𪰤	aev		aev	⿰日汝
𫱥	aev		aev	⿱𣪘女
𧞈	aeyhv		aeyhv	⿱暖衣
𣁜	aeyk		aeyk	⿰曼文
炅	af	2	af	⿱日火
炚	af	1	af	⿰日火
𣌢	af		af	⿱曰小
𭴋	af		af	⿱日灬
𣆺	afb		afb	⿰日肖
𰖤	afbb		afbb	
曭	afbf	1	afbf	⿰日黨
𣇢	afbf		afbf	⿰日㡀
𣊶	afbk		afbk	⿰日敝
𭧨	afbk		afbk	⿰日敞
㫾	afbr		afbr	⿰日尙
㫾	afbr		afbr	⿰日尚
𭧋	afbu		afbu	⿰日党
㫧	afd		afd	⿱日米
𭥻	afd		afd	⿰日米
𭨇	afdb		afdb	⿰日精
暽	afdq		afdq	⿰日粦
𰖚	afdv		afdv	
晱	aff		aff	⿰日炎
𪱓	affe		affe	⿰日燮
𭧲	afff		afff	⿰日焱
𣊞	affo		affo	⿰日欻
𪱌	affs		affs	⿰日勞
𣌤	afh		afh	⿱曰少
影	afhhh		afhhh	⿰景彡
𣋹	afkt		afkt	⿰日弊
颢	afmbo		afmbo	⿰景页
𭥽	afmc		afmc	⿰日兴
𣉖	afmm		afmm	⿰日烜
晃	afmu	2	afmu	⿱日光
晄	afmu	1	afmu	⿰日光
𩓺	afmz		af/mz	⿰炅頁
𭧟	afno		afno	⿰景久
𰙏	afno		afno	
㫠	afq		afq	⿰日半
𰖂	afs		afs	
㷖	afshr		afshr	⿰炅召
𮶎	afss		afss	
㒽	afsu		afsu	⿱冃卷
㒽	afsu		afsu	⿱日卷
𭦣	afsu		afsu	⿰日卷
𱵸	afvvk		afvvk	
𢀍	afvvu		afvvu	⿰景邕
𭨗	afwrw		afwrw	⿰景圖
䯫	afyrb		afyrb	⿰景高
圼	ag	1	ag	⿱日土
𣆀	agb		agb	⿰日冉
𣌐	agbm		agbm	⿰日⿴𡔲𠮛
曀	agbt		agbt	⿰日壹
𣇾	agce		agce	⿰日夌
𬀻	agcg		agcg	⿰日坴
𭦩	agcu		agcu	⿰日⿱圥元
時	agdi	1	agdi	⿰日寺
㫭	agdi		agdi	⿱日寺
𪱖	agdk		agdk	⿰⿱日隹夬
𬖻	agfd		agfd	⿰⿱𣆗土米
晆	agg		agg	⿰日圭
𭨍	aggc		aggc	⿰日⿱垚貝
𣈹	aggg		aggg	⿰日垚
曉	aggu	1	aggu	⿰日堯
𬁕	aggu		aggu	⿱日堯
𥣷	aghd		aghd	⿰⿳日果土禾
㫢	agi		agi	⿰日去
𪰰	agil		agil	⿰時亇
𪰰	agin		agin	⿰時亇
𭨎	agirm		agirm	⿰量或
𬁃	agis		agis	⿱日城
𱢥	agiu		agiu	
𣈑	agl		agl	⿰日幸
𣊎	agli		agli	⿰日執
𣊎	aglk		aglk	⿰日執
𬀾	agll		agll	⿱日坤
𣋬	agni		agni	⿰日壽
𣊌	agog		agog	⿰日堆
𣇌	agp		agp	⿰日志
𮡛	agqhp		agqhp	⿰量托
𪰙	agr		agr	⿰日吉
𭨉	agrg		agrg	⿰日臺
暿	agrr		agrr	⿰日喜
𰖢	agsk		agsk	
𲇃	agtbs		agtbs	
𣊝	agtd		agtd	⿰日⿳土龷木
𣉊	agtu		agtu	⿰日𫝔
𣆷	agug		agug	⿱日𡉵
𣋺	agwc		agwc	⿰日賣
𪰹	agwg		agwg	⿱日埋
㫱	agz	1	agz	⿱日赤
𣇐	agz		agz	⿰日赤
㬨	agzz		agzz	⿰日赫
𠃜	ah		ah	𠃜
𣆆	aha	1	aha	⿰日白
𣅩	aha		aha	⿸𠃜日
𣈷	ahag		ahag	⿰日皇
暤	ahaj	1	ahaj	⿰日皋
暭	ahaj		ahaj	⿰日皐
𭦸	ahak		ahak	⿰日𪽼
𣊷	ahaph		ahaph	⿰易易
𣆿	ahau		ahau	⿰日皃
暤	ahaz		ahaz	⿰日皋
