text	code	weight	stem	decomposition
𨜮	hvivl		hvivl	⿰𠂎郎
𥶜	hvjl		hvjl	⿱竹嫴
𭄠	hvks		hv/ks	⿰𠂎力
𡤍	hvmhf		hvmhf	⿰委原
䉃	hvmi		hvmi	⿱竹將
𰩺	hvmi		hvmi	
𠛆	hvmln		hvm/ln	⿰乌刂
邬	hvmnl		hvm/nl	⿰乌阝
𰙋	hvmno		hvmno	
𥯉	hvmr		hvmr	⿱竹妬
𱸔	hvmu		hvmu	
𱸤	hvmu		hvmu	
瓾	hvmun		hvmun	⿰委瓦
𭂪	hvn		hvn	⿰②几
𥠨	hvnin		hvnin	⿰委多
𫑗	hvnl		hv/nl	⿰𠂎阝
𫬳	hvor		hvor	⿱⿰禾哀合
𫧻	hvorl		hvorl	⿰𠂎𪠁
𥶫	hvou		hvou	⿱竹𡡾
憄	hvp		hvp	⿱徝心
𭝮	hvp		hvp	⿱很心
𲈥	hvpo		hvpo	
𲉐	hvqd		hvqd	
筎	hvr		hvr	⿱竹如
𥰪	hvrq		hvrq	⿱竹挐
𢑏	hvs		hvs	⿰𠂎彐
𨈐	hvsh		hvsh	𨈐
𠨥	hvsjl		hvsjl	⿰𠂎聊
𦥓	hvsk		hvsk	⿴③㐅
卯	hvsl		hvsl	⿰𠂎卩
贕	hvslc		hvslc	⿰卵賣
贕	hvslc		hvslc	⿰卵𧶠
𮚧	hvslc		hvslc	⿰卯賣
孵	hvsld		hvsld	⿰卵孚
毈	hvsle		hvsle	⿰卵段
卵	hvsli		hhsl'i	⿰𠂑卪
𫧿	hvslk		hvslk	⿰卵卖
𠛓	hvsln		hvs/ln	⿰卯刂
𱑚	hvsln		hvsln	
𠷞	hvslr		hvslr	⿰卵古
𬪁	hvslr		hvslr	⿰卵邑
𲀗	hvslt		hvslt	
𫚵	hvslz		hvslz	⿰卯鳥
𮬺	hvslz		hvslz	⿰卵鳥
乌	hvsm		hvsm	⿹③一
𠑼	hvsu		hvsu	⿻⿰②コ儿
𥴘	hvtd		hvtd	⿱竹媒
𥲀	hvvd		hvvd	⿱竹巢
𥶢	hvvn		hvvn	⿱竹⿳巛龱⿵几氺
䉭	hvvv		hvvv	⿱竹巤
𲉙	hvwbb		hvwbb	
𥷿	hvwf		hvwf	⿱竹𤳯
𡣉	hvwmv		hvwmv	⿰委畏
甶	hw	1	hw	⿱丿田
𬔭	hw		hw	⿱竹口
𣉭	hwa		hwa	⿱⿱丿𡇒日
𥲺	hwaj		hwaj	⿳竹田早
𬏓	hwau		hwau	⿰番巴
𭻷	hwbx		hwbx	⿰留舀
𥭮	hwcb		hwcb	⿱竹囧
𪽐	hwcl		hwcl	⿱甶介
𬏔	hwcsh		hwcsh	⿰番分
𠒇	hwcu		hwcu	⿱⿴⿱丿囗丷儿
𥲢	hwdd		hwdd	⿱竹⿴囗林
𥀓	hwdhe		hwdhe	⿰留皮
𥴞	hwdq		hwdq	⿱竹圍
笝	hwe		hw'e	⿱竹㘝
𥡤	hwf	3	hwf	⿱𥟁灬
𥡤	hwf	3	hwf	⿰禾⿱酉灬
𤓞	hwf	2	hwf	⿱䵗火
𤓜	hwf	1	hwf	⿱䵗灬
𤐧	hwf		hwf	⿱稫火
𤐸	hwf		hwf	⿱稫灬
𱲨	hwf		hwf	
𥳬	hwff		hwff	⿱竹黑
𱫵	hwff		hwff	
𥸣	hwfr	1	hwfr	⿱竹黵
𥷫	hwfr		hwfr	⿱竹黠
𥱽	hwfu		hwfu	⿱竹圈
𭻻	hwghi		hwghi	⿰番塊
𤳖	hwgi		hwgi	⿰番去
睾	hwgl		hwgl	⿱丿睪
睾	hwgl		hwgl	⿱血幸
𭿓	hwgtq		hwgtq	⿳丿罒⿻土羊
𬕶	hwgv		hwgv	⿱竹園
𬕫	hwhbt		hwhbt	⿰笛血
箘	hwhd	1	hw'hd	⿱竹囷
𥢖	hwhd		hwhd	⿰⿱禾困禾
囱	hwhe		hw'he	⿴⿱丿囗夂
囱	hwhe		hw'he	⿴⿱丿囗夕
囱	hwhe		hw'he	⿴⿱丿囗夊
𭻫	hwhe		hwhe	⿰番反
𲌧	hwhf		hwhf	
𩵇	hwhg		hwhg	⿱鬼羅
鬼	hwhi	1	hwhi	⿱甶⿺儿厶
𧌠	hwhi		hwhi	⿱卑虫
𧓎	hwhi		hwhi	⿱卑䖵
𰳒	hwhi		hwhi	
卑	hwhj	1	hwhj	⿱⿻白丿十
卑	hwhj	1	hwhj	⿱丿𤰞
𩲽	hwhj		hwhj	⿱鬼耳
𭅡	hwhj		hwhj	⿱甶千
𤰲	hwhlo		hwhlo	⿱甶爪
𱲻	hwho		hwho	
𧫏	hwhr	1	hwhr	⿱鬼言
𥳂	hwhr		hwhr	⿱竹畧
𫒀	hwhs		hwhs	⿱⿵⿱丿冂釆丂
𨊃	hwhsh		hwhsh	⿰番身
𩲈	hwhu		hwhu	⿱鬼山
𦤟	hwhuk		hwhuk	⿰囟臭
𤱮	hwhv	1	hwhv	⿳甶丿④
𠃁	hwhv		hwhv	⿳甶丿𧘇
𮫟	hwhv		hwhv	⿱鬼衣
𰙮	hwhx		hwhx	
鹠	hwhym	1	hwhym	⿰留鸟
𬸪	hwhym		hwhym	⿰番鸟
𫂔	hwih		hwih	⿳竹田戊
𩱹	hwiks		hwi/ks	⿺鬼力
𠵓	hwil		hwil	⿳⿳丿𠮚丨𠮚丨
簂	hwim		hw'im	⿱竹國
𬏗	hwimo		hwimo	⿰番次
䫥	hwimz		hwi/mz	⿺鬼頁
𨝀	hwinl		hwi/nl	⿰鬼阝
𩲟	hwino		hwi/no	⿺鬼欠
魋	hwiog		hwi/og	⿺鬼隹
𥭆	hwj		hwj	⿱竹⿻甲一
鵯	hwjhz		hwj/hz	⿰卑鳥
𥴂	hwjj		hwjj	⿱竹⿻⿻⿻甲一廿一
𠜱	hwjln		hwj/ln	⿰卑刂
䫌	hwjmz		hwj/mz	⿰卑頁
郫	hwjnl		hwj/nl	⿰卑阝
𨿵	hwjog		hwj/og	⿰卑隹
箇	hwjr		hw'jr	⿱竹固
㪏	hwjye		hwj/ye	⿰卑攴
𱱀	hwjz		hwjz	
囟	hwk	2	hw'k	⿴⿱丿囗㐅
筃	hwk	1	hw'k	⿱竹因
𡘻	hwk		hwk	⿱⿴⿱丿囗爻大
𡏙	hwkg		hwkg	⿱囱圶
囪	hwkk		hw'kk	⿴⿱丿囗⿻⿱丿丿丶
䪿	hwkmz		hwk/mz	⿰囟頁
𠒆	hwku		hwku	⿱囟儿
笚	hwl	1	hwl	⿱竹甲
𥵟	hwla		hwla	⿱竹署
簚	hwlb		hwlb	⿳竹罒⿹戈巾
簤	hwlc	1	hwlc	⿱竹買
𠃅	hwlc		hwlc	⿸𠂆買
𥷾	hwlf		hwlf	⿱竹羆
籮	hwlg	1	hwlg	⿱竹羅
𬖈	hwlg		hwlg	⿳竹罒雔
𥱡	hwlh		hwlh	⿳竹罒戊
篾	hwli	1	hwli	⿳竹罒戍
篾	hwli	1	hwli	⿳竹罒戌
𥴸	hwli		hwli	⿱竹⿳罒冖戍
𧑪	hwli		hwli	⿰番虫
𮆘	hwli		hwli	⿳竹罒⿱冖伐
𥵙	hwlj		hwlj	⿱竹罩
𬏅	hwlk		hwlk	⿰甶史
篾	hwlm		hwlm	⿳竹罒戍
篾	hwlm		hwlm	⿳竹罒戌
𩔅	hwlmz		hwl/mz	⿰⿱囟丌頁
箩	hwln	3	hwln	⿱竹罗
䉚	hwln	2	hwln	⿳竹罒𤬦
𥷙	hwln	1	hwln	⿱竹罽
𥶖	hwln		hwln	⿱竹𦋺
𥶓	hwlp	1	hwlp	⿱竹罷
𥰕	hwlp		hwlp	⿱竹𦊁
𥱢	hwlp		hwlp	⿳竹罒代
𮆋	hwlp		hwlp	⿳竹罒⿱冖代
𩐏	hwlsm		hwlsm	⿰番韭
𩇾	hwlsy		hwlsy	⿰番非
𫤘	hwlu		hwlu	⿳丿罒儿
𮆙	hwlv		hwlv	⿱竹睘
𭻫	hwme		hwme	⿰番反
𰡸	hwmg		hwmg	
𫂆	hwmi		hwmi	⿱竹国
𬏎	hwmj		hwmj	⿰番干
箅	hwml		hwml	⿱竹畀
𬏗	hwmmo		hwmmo	⿰番次
𥕿	hwmr		hwmr	⿰番石
粵	hwms	1	hwms	⿱⿴⿱丿囗釆丂
粤	hwms		hwms	⿱⿴⿱丿囗米丂
粤	hwms		hwms	⿱⿵⿱丿冂米亏
𧱋	hwmso		hwmso	⿱甶豕
㽃	hwmun		hwmun	⿰番瓦
𥯜	hwmv	1	hwmv	⿱竹畏
𠂽	hwmv		hwmv	⿳甶一⿰𠄌⿺乀丿
𤱖	hwmxn		hwmxn	⿱甶④
𭻬	hwnhe		hwnhe	⿰番及
䇱	hwni		hwni	⿱竹⿴囗夂
飜	hwnoo		hwnoo	⿰番飛
𦠷	hwnyb		hwnyb	⿰囪胥
𤴙	hwnyo		hwnyo	⿰囪疋
𤲄	hwo		hwo	⿱甶乑
𤳺	hwoae		hwoae	⿰番复
𪽐	hwol		hwol	⿱甶介
𥱅	hwot		hwot	⿳竹⿴囗从廾
𫂌	hwou		hwou	⿳竹囚毛
恖	hwp	5	hwp	⿱囟心
悤	hwp	4	hwp	⿱囱心
𥯨	hwp	2	hwp	⿱竹思
𢡔	hwp	1	hwp	⿱⿰囟囟心
𢙥	hwp		hwp	⿱⿴⿱丿囗人心
𢝏	hwp		hwp	⿱⿴⿱丿囗⿱八兀心
𱞜	hwp		hwp	
𥮦	hwph		hwph	⿱竹㘠
𰣓	hwphh		hwphh	
𪄆	hwphz		hwp/hz	⿰𣬉鳥
㔡	hwpks		hwp/ks	⿰𣬉力
𠞇	hwpln		hwp/ln	⿰𣬉刂
顖	hwpmz	1	hwp/mz	⿰恖頁
𩔙	hwpmz		hwp/mz	⿰𣬉頁
𩕄	hwpmz		hwp/mz	⿰悤頁
𫞾	hwpp	3	hwpp	⿱竹毘
𥯡	hwpp	2	hwpp	⿱竹毗
𣬉	hwpp	1	hwpp	⿱囟比
𣬈	hwpp		hwpp	⿰囟比
𣬖	hwppp		hwppp	⿱⿰甶比毗
𣬖	hwppp		hwppp	⿰⿱甶田𣬅
𥭒	hwpu		hwpu	⿱竹囤
𢾱	hwpye		hwp/ye	⿰𣬉攴
𮅊	hwr		hwr	⿱竹回
𫂛	hwrf		hwrf	⿳竹回示
𩥖	hwsqf		hwsqf	⿰⿱卯田馬
翻	hwss		hwss	⿰番羽
𢍙	hwt	5	hwt	⿱⿴⿱丿囗⿰㐅㐅廾
𢍘	hwt	4	hwt	⿱⿱丿囲廾
𢍍	hwt	3	hwt	⿱囪廾
𢍉	hwt	2	hwt	⿱甶廾
𢍄	hwt	1	hwt	⿱囟廾
𠂺	hwt		hwt	⿱囟廿
篳	hwtj		hwtj	⿱竹畢
𮠁	hwtnl		hwt/nl	⿰𢍉阝
𠃼	hwtu		hwtu	⿱𠂺乚
𥳙	hwub		hwub	⿱竹圌
𱶮	hwuuu		hwuuu	
𠭛	hwve		hwve	⿱囪𠬞
䉂	hwvf		hwvf	⿱竹累
𢆿	hwvi		hwvi	⿱囟幺
𢇆	hwvil		hwvil	⿱囟𢆯
𡿻	hwvvv		hwvvv	⿱⿱丿罒巛
𥸕	hwwf		hwwf	⿱竹纍
䉪	hwww		hwww	⿱竹畾
𭻣	hwy		hwy	⿰番卜
𥬦	hwyi		hwyi	⿱竹母
𤉱	hwysf		hwysf	⿱⿱丿罒⿹②灬
䇛	hx	1	hx	⿱竹止
𠂛	hx		hx	⿱丿止
篼	hxau		hxau	⿱竹兜
𥸃	hxde	1	hxde	⿱竹⿰⿱⿱臼土米殳
𥶵	hxde		hxde	⿱竹毇
𥀈	hxdhe	1	hxdhe	⿰臿皮
𤿷	hxdhe		hxdhe	⿰臽皮
𣦨	hxdoo		hxdoo	⿰⿱𠂤止來
𥸋	hxed		hxed	⿱竹𥽂
燄	hxff		hxff	⿰臽炎
𥵓	hxge		hxge	⿱竹毀
𥳭	hxhh		hxhh	⿱竹𣦃
𣂠	hxhml		hxhml	⿰⿱彡止斤
𮅙	hxhu		hxhu	⿱竹兒
𧾭	hxhxx	1	hxhxx	⿲𣥚𣥚𣥚
𧾭	hxhxx	1	hxhxx	⿱⿲夭夭夭⿲止止止
𣦴	hxhxx		hxhxx	⿱𣥚⿰𣥚𣥚
𥷎	hxhz		hxhz	⿱竹頻
𥷔	hxjc	1	hxjc	⿱竹輿
𥦶	hxjc		hxjc	⿰臽穴
𢻗	hxje		hxje	⿰臿支
𦦘	hxjlo		hxjlo	⿰臿疌
𦦕	hxkoo		hxkoo	⿰臿夾
𥰞	hxle		hxle	⿱竹叟
𰺼	hxmso		hxmso	
𰯻	hxneq		hxneq	
𡖰	hxnin		hxnin	⿰⿱彡止多
𦥵	hxnr		hxnr	⿰臽𠮥
𥯮	hxo		hxo	⿱竹臾
惩	hxp	1	hxp	⿱征心
𥬳	hxp		hxp	⿱竹此
䉣	hxpf	1	hxpf	⿱竹舄
𥲕	hxpf		hxpf	⿱竹紫
𱸈	hxpm		hxpm	
𭭻	hxqmc		hxqmc	⿰⿱𠂤止責
歸	hxsbb	1	hxsbb	⿰⿱𠂤止帚
𨓼	hxsbb		hxsbb	⿰⿱彡止帚
𧢫	hxsbu		hxsbu	⿰歸見
𠮋	hxsje		hxsje	⿰𣥚取
𦑪	hxss		hxss	⿰臿羽
𢀽	hxsu		hxsu	⿰⿱彡止己
𥰩	hxt		hxt	⿳竹𦥑廾
𨒠	hxuf		hxuf	⿰⿱彡止𣎵
𥷳	hxun		hxun	⿱竹齕
𥸟	hxuo	1	hxuo	⿱竹⿰齒定
𥸛	hxuo		hxuo	⿱竹齪
𥸞	hxuz		hxuz	⿱竹䶞
𡿽	hxvvv		hxvvv	⿰⿱彡止巛
籅	hxyc		hxyc	⿱竹與
𥪵	hxytv		hxytv	⿰臿妾
忄	hy	1	hy	忄
𫁰	hy		hy	⿱竹卜
昝	hya	2	hya	⿱处日
𦨙	hya		hya	⿰舟日
䑵	hyab		hyab	⿰舟冐
艒	hyabu		hyabu	⿰舟冒
𱼽	hyafu		hyafu	
𦩠	hyahm		hyahm	⿰舟星
䈇	hyaj		hyaj	⿱竹卓
𦨪	hyam		hyam	⿰舟旦
𦩅	hyamj		hyamj	⿰舟旱
𥲮	hyan		hyan	⿱竹⿰亯刂
𥵗	hyao		hyao	⿱竹歆
𦩥	hyapv		hyapv	⿰舟曷
䑽	hyass		hyass	⿰舟𦐇
舥	hyau		hyau	⿰舟巴
𦪬	hyavo		hyavo	⿰舟歇
𫇞	hyawe		hyawe	⿰舟曼
𦚅	hyb		hyb	⿱处月
簻	hybb	1	hybb	⿱竹過
𥰆	hybb		hybb	⿱竹帝
𮆥	hybd		hybd	⿱竹槀
䈛	hybe	1	hybe	⿱竹㕟
𫂜	hybe		hybe	⿱竹𢼾
籬	hybg	1	hybg	⿱竹離
𥲠	hybg		hybg	⿱竹望
𥵭	hybg		hybg	⿳竹⿳亠④冈王
𦩍	hybgr		hybgr	⿰舟周
𮆲	hybh		hybh	⿱竹𢅛
𮎃	hybhn		hybhn	⿰舟冗
舰	hybhu		hybhu	⿰舟见
𮎃	hybhu		hybhu	⿰舟冗
𥲖	hybk		hybk	⿱竹𢽋
𭛖	hybll		hybll	⿱⿲彡⿰丨丨三⿵冂⿰⿰丨丨⿰丨丨
𦩛	hybmc		hybmc	⿰舟具
𦩮	hybme		hybme	⿰舟爰
𦪃	hybmo		hybmo	⿰舟冡
𦨴	hybmr		hybmr	⿰舟同
䒄	hybmw		hybmw	⿰舟冨
𥸏	hybn	1	hybn	⿳竹高⿲月女凡
𥯢	hybn		hybn	⿱竹亭
艀	hybnd		hybnd	⿰舟孚
𨟭	hybnl		hyb/nl	⿰⿱竹膚阝
籇	hybo		hybo	⿱竹豪
𦩾	hybou		hybou	⿰舟䍃
籠	hybp		hybp	⿱竹龍
𦩍	hybqr		hybqr	⿰舟周
𥭩	hybr		hybr	⿳竹⺊冋
篣	hybs		hybs	⿱竹旁
𥳪	hybt		hybt	⿺辶算
𦨧	hybu		hybu	⿰舟目
𰪎	hybu		hybu	
𱸡	hybu		hybu	
𦫇	hybue		hybue	⿰舟矍
䚀	hybuu		hybuu	⿰舟見
𦩶	hybvk		hybvk	⿰舟奚
𦩹	hybx		hybx	⿰舟舀
𥫰	hyc		hyc	⿱竹六
舩	hyci		hyci	⿰舟公
筊	hyck		hyck	⿱竹交
𰰍	hycme		hycme	
艗	hycmt		hycmt	⿰舟益
𦩲	hycmw		hycmw	⿰舟酋
䑯	hycnh		hycnh	⿰舟弟
𥴦	hyco	1	hyco	⿱竹遂
𮎐	hycor		hycor	⿰舟谷
船	hycr		hycr	⿰舟⿱𠘧口
船	hycr		hycr	⿰舟⿱儿口
船	hycr		hycr	⿰舟㕣
𬜕	hycrn		hycrn	⿰船凢
𦩃	hycru		hycru	⿰舟兑
𦪚	hycwi		hycwi	⿰舟尊
㭧	hyd		hyd	⿱舟木
𥷩	hydg		hydg	⿱竹雜
𦨑	hydh		hydh	⿰舟才
㿭	hydhe	1	hydhe	⿰斥皮
𦨭	hydhe		hydhe	⿰舟皮
𡬫	hydi		hydi	⿰舟寸
𰩻	hydi		hydi	
𰻮	hydnl		hydnl	
𦩚	hydok		hydok	⿰舟枚
𦩑	hydoo		hydoo	⿰舟來
𥴷	hyed		hyed	⿱竹粲
𰰋	hyee		hyee	
𱼻	hyeee		hyeee	
䑡	hyei		hyei	⿰舟叉
𦩨	hyelq		hyelq	⿰舟津
䑭	hyem		hyem	⿰舟江
𦪉	hyeog		hyeog	⿰舟淮
𦨲	hyesu		hyesu	⿰舟氾
𬜚	hyexh		hyexh	⿰舟涉
艄	hyfb		hyfb	⿰舟肖
𧷽	hyfbc		hyfbc	⿰舟⿱龹貝
𦪦	hyfbq		hyfbq	⿰舟掌
䒅	hyfbu		hyfbu	⿰舟眷
艡	hyfbw		hyfbw	⿰舟當
𫂗	hyfd	1	hyfd	⿱竹迷
𣚗	hyfd		hyfd	⿰舟桊
𰰑	hyfdv		hyfdv	
𣽨	hyfe		hyfe	⿰舟𣳾
𧔶	hyfei		hyfei	⿰舟⿳火⿻人⿱丷八虫
𦩗	hyff		hyff	⿰舟炎
𦩱	hyfg		hyfg	⿰舟⿱龹土
𦨖	hyfh		hyfh	⿰舟少
𪅻	hyfhz		hyfhz	⿰舟𪀲
𠢧	hyfks		hyfks	⿰舟劵
𦩫	hyflb		hyflb	⿰舟帣
𧑥	hyfli		hyfli	⿰舟䖭
𦨻	hyfmu		hyfmu	⿰舟光
𦫂	hyfnc		hyfnc	⿰舟⿳火⿰夕②貝
䲍	hyfnf		hyfnf	⿰舟鮝
𦫁	hyfnr		hyfnr	⿰舟⿳火⿰夕②言
𱼾	hyfoo		hyfoo	
𦫀	hyfsf		hyfsf	⿰舟駦
𦩎	hyft		hyft	⿰舟灷
𦩎	hyft		hyft	⿰舟灷
𥳛	hyfu		hyfu	⿱竹就
𦩩	hyfv		hyfv	⿰舟⿱龹女
𦪝	hyfvf		hyfvf	⿰舟絭
𤳮	hyfvw		hyfvw	⿰舟⿳火𠬞田
𤳔	hyfw		hyfw	⿰舟𤱵
䇠	hyg		hyg	⿱竹主
𦪛	hyggu		hyggu	⿰舟堯
𫇠	hygni		hygni	⿰舟壽
艢	hygow		hygow	⿰舟嗇
𮮧	hygte		hygte	⿱处鼓
𦪟	hygth		hygth	⿰舟彭
𦩄	hygug		hygug	⿰舟𡉵
𮆡	hygv		hygv	⿱竹遠
𱼼	hygwg		hygwg	
舶	hyha		hyha	⿰舟白
艊	hyhab		hyhab	⿰舟帛
艎	hyhag		hyhag	⿰舟皇
𥸅	hyhb		hyhb	⿱竹𨘢
𦨸	hyhbq		hyhbq	⿰舟𮉼
䶱	hyhbs		hyhbs	⿰冬龜
𮎌	hyhbu		hyhbu	⿰舟自
𦪼	hyhda		hyhda	⿰舟稽
𬜛	hyhde		hyhde	⿰舟𤿤
舨	hyhe		hyhe	⿰舟反
𦩁	hyhed		hyhed	⿰舟条
艂	hyhej		hyhej	⿰舟夆
舽	hyheq		hyheq	⿰舟夅
𮎇	hyhfd		hyhfd	⿰舟乎
𦪖	hyhfw		hyhfw	⿰舟番
艁	hyhgr		hyhgr	⿰舟告
䑫	hyhh		hyhh	⿰舟并
𦩵	hyhhc		hyhhc	⿰舟兼
𬜜	hyhhe		hyhhe	⿰舟黎
䑣	hyhhh		hyhhh	⿰舟彡
𦪪	hyhhj		hyhhj	⿰舟𥭗
舧	hyhhn		hy'hhn	⿰舟𭂫
𧡬	hyhhu		hyhhu	⿰䑣見
𮎊	hyhio		hyhio	⿰舟乏
篷	hyhj	1	hyhj	⿱竹逢
𫇚	hyhj		hyhj	⿰舟千
𦩰	hyhjg		hyhjg	⿰舟重
𦨯	hyhjr		hyhjr	⿰舟舌
𦩿	hyhjx		hyhjx	⿰舟𦥛
𦪞	hyhkb		hyhkb	⿰舟喬
艞	hyhlo		hyhlo	⿰舟筄
簅	hyhm	1	hyhm	⿱竹産
簅	hyhm	1	hyhm	⿱竹產
笐	hyhn		hyhn	⿱竹亢
䑮	hyhnd		hyhnd	⿰舟朶
般	hyhne		hyhne	⿰舟殳
舤	hyhni	2	hyhn'i	⿰舟凡
䑺	hyhni		hyhni	⿰舟風
𱼸	hyhnk		hyhnk	
船	hyhnr		hyhnr	⿰舟⿱𠘧口
船	hyhnr		hyhnr	⿰舟⿱儿口
船	hyhnr		hyhnr	⿰舟㕣
䒀	hyhoi		hyhoi	⿰舟符
𦨵	hyhon		hyhon	⿰舟行
𦨎	hyhp		hyhp	⿰舟乇
𦩆	hyhqi		hyhqi	⿰舟我
艁	hyhqr		hyhqr	⿰舟告
簉	hyhr		hyhr	⿱竹造
𬜕	hyhrn		hyhrn	⿰船凢
籩	hyhs	2	hyhs	⿱竹邊
舮	hyhs	1	hyhs	⿰舟户
舮	hyhs	1	hyhs	⿰舟戸
𥫳	hyhs		hyhs	⿱竹方
艑	hyhsb	1	hyhsb	⿰舟扁
䑷	hyhsb		hyhsb	⿰舟肩
𦪯	hyhst		hyhst	⿰舟⿸戶昷
𦪵	hyhtz		hyhtz	⿰舟箕
𦨊	hyhu		hyhu	⿰舟⿱丿乚
𮅂	hyhu		hyhu	⿳竹亠儿
𦫅	hyhuc		hyhuc	⿰舟贊
𦪄	hyhug		hyhug	⿰舟𦤃
𦨢	hyhui		hyhui	⿰舟氐
𦨢	hyhum		hyhum	⿰舟氐
𬕁	hyhv		hyhv	⿱竹衣
𦩖	hyhwj		hyhwj	⿰舟卑
𦪐	hyhwp		hyhwp	⿰舟悤
𪉄	hyhym	1	hyhym	⿰斥鸟
鸼	hyhym		hyhym	⿰舟鸟
𦨜	hyi		hyi	⿰舟戈
艆	hyiav		hyiav	⿰舟良
𥮧	hyid		hyid	⿱竹𣏋
𦩇	hyife		hyife	⿰舟⿱厼又
𦪊	hyihf		hyihf	⿰舟戚
𦩢	hyihr		hyihr	⿰舟咸
𦩬	hyihv		hyihv	⿰舟威
𦪜	hyiip		hyiip	⿰舟叅
舣	hyik	1	hyik	⿰舟义
𦨚	hyik		hyik	⿰舟犬
𬖊	hyik		hyik	⿳竹𠫓⿲月員凡
𦩓	hyikm		hyikm	⿰舟叁
𦨩	hyikp		hyikp	⿰舟龙
𦪀	hyilr		hyilr	⿰舟唐
𬖊	hyin		hyin	⿳竹𠫓⿲月員凡
𦪅	hying		hying	⿰舟庭
𦩈	hyiok		hyiok	⿰舟矣
𦨒	hyip		hyip	⿰舟弋
舮	hyis		hyis	⿰舟户
舮	hyis		hyis	⿰舟戸
艑	hyisb	1	hyisb	⿰舟扁
䑷	hyisb		hyisb	⿰舟肩
𦨬	hyise		hyise	⿰舟永
𦪯	hyist		hyist	⿰舟⿸戶昷
艔	hyite		hyite	⿰舟度
𥬱	hyiu		hyiu	⿱竹充
𦪇	hyixp		hyixp	⿰舟鹿
𫁵	hyj		hyj	⿱竹斗
𬕟	hyjb		hyjb	⿱竹⿺辶市
𬜘	hyjbc		hyjbc	⿰舟真
𥸡	hyjc		hyjc	⿱竹贛
𦪥	hyjca		hyjca	⿰舟⿱穴伯
𦪁	hyjce		hyjce	⿰舟𡨝
𦩤	hyjck		hyjck	⿰舟突
𬜖	hyjcm		hyjcm	⿰舟空
𦨟	hyje		hyje	⿰舟支
𮎕	hyjfc		hyjfc	⿰舟賓
䑹	hyjfe		hyjfe	⿰舟叜
𮎑	hyjio		hyjio	⿰舟㝎
𦪌	hyjkr		hyjkr	⿰舟寄
𦩌	hyjlo		hyjlo	⿰舟疌
䑸	hyjmf		hyjmf	⿰舟宗
𮎓	hyjmi		hyjmi	⿰舟宝
𮎖	hyjmk		hyjmk	⿰舟𠁗
𦩘	hyjmo		hyjmo	⿰舟定
䒇	hyjmw		hyjmw	⿰舟富
䑱	hyjnu		hyjnu	⿰舟宛
䑿	hyjoa		hyjoa	⿰舟宿
舵	hyjp		hyjp	⿰舟它
䑩	hyjr		hyjr	⿰舟古
䒈	hyjtc		hyjtc	⿰舟賁
𦪻	hyjti		hyjti	⿰舟寬
𦨐	hyk	1	hyk	⿰舟大
𥫾	hyk		hyk	⿱竹文
𱸘	hykb		hykb	
艜	hykbb		hykbb	⿰舟帶
籯	hykc		hykc	⿱竹贏
𦪕	hykcf		hykcf	⿰舟尞
𥷊	hykf		hykf	⿱竹遼
舦	hyki	2	hyki	⿰舟太
𫂯	hyki	1	hyki	⿱竹蠃
𮅨	hykj		hykj	⿱竹⿺辶夲
簅	hykm	2	hykm	⿱竹産
簅	hykm	2	hykm	⿱竹產
舿	hykms	1	hykms	⿰舟夸
𰪣	hyko		hyko	
𦩀	hykoo		hykoo	⿰舟夾
𦩪	hykrd		hykrd	⿰舟架
笾	hyks	1	hyks	⿱竹边
𬜑	hyks		hy/ks	⿰舟力
𰪄	hyks		hyks	
𱼹	hykt		hykt	
𮎅	hykui		hykui	⿰舟𡯆
籝	hykv	1	hykv	⿱竹嬴
𥷶	hykv		hykv	⿱竹𫲓
舯	hyl	1	hyl	⿰舟中
𥭴	hyl		hyl	⿱竹辛
䉸	hyll	1	hyll	⿱竹辯
𥶁	hyll		hyll	⿱竹辣
𥷁	hyll		hyll	⿱竹辦
𦨡	hylln		hylln	⿰舟弗
𦪒	hylmc		hylmc	⿰舟貴
𦨶	hylo		hylo	⿰舟关
𱸉	hylo		hylo	
𦨱	hylq		hylq	⿰舟聿
𦩦	hylqh		hylqh	⿰舟𦘔
𮆽	hylr		hylr	⿱竹⿰辛訇
𦩋	hylsy		hylsy	⿰舟非
䑬	hyluo		hyluo	⿰舟兆
舳	hylw		hylw	⿰舟由
艛	hylwv		hylwv	⿰舟婁
𦪓	hylx		hylx	⿰舟肅
𦪺	hylxc	1	hylxc	⿰舟⑯
𦪲	hylxc		hylxc	⿰舟⿻肅八
𫇟	hylyp		hylyp	⿰舟悲
舡	hym		hym	⿰舟工
𮎋	hyma		hyma	⿰舟百
𦩼	hymbc		hymbc	⿰舟貢
𬱘	hymbo		hymbo	⿰斥页
舾	hymcw		hymcw	⿰舟西
舨	hyme		hyme	⿰舟反
𦨫	hymfj		hymfj	⿰舟平
𰰒	hymgg		hymgg	
𮎗	hymht		hymht	⿰舟𭾐
𦪾	hymhx		hymhx	⿰舟歷
𮶗	hymj		hymj	
𦩺	hymjd		hymjd	⿰舟𣑦
𦪧	hymjk		hymjk	⿰舟敢
𦨯	hymjr		hymjr	⿰舟舌
𦩺	hymkd		hymkd	⿰舟𣑦
𮶘	hymmi		hymmi	
𦨘	hymml		hymml	⿰舟亓
𦨞	hymmu		hymmu	⿰舟元
𦨍	hymn		hymn	⿰舟丁
𦨰	hymnl		hymnl	⿰舟邛
